company_name,ticker,is_etf
휠라홀딩스,081660.KS,False
한화생명,088350.KS,False
아시아나항공,020560.KS,False
CJ대한통운,000120.KS,False
이마트,139480.KS,False
산일전기,062040.KS,False
현대해상,001450.KS,False
현대엘리베이,017800.KS,False
농심,004370.KS,False
제일기획,030000.KS,False
HL만도,204320.KS,False
에이피알,278470.KS,False
DB하이텍,000990.KS,False
한올바이오파마,009420.KS,False
팬오션,028670.KS,False
SK아이이테크놀로지,361610.KS,False
한미사이언스,008930.KS,False
한전KPS,051600.KS,False
영원무역,111770.KS,False
한화엔진,082740.KS,False
롯데쇼핑,023530.KS,False
BGF리테일,282330.KS,False
코스모신소재,005070.KS,False
코스맥스,192820.KS,False
아모레G,002790.KS,False
씨에스윈드,112610.KS,False
풍산,103140.KS,False
HD현대인프라코어,042670.KS,False
이수스페셜티케미컬,457190.KS,False
호텔신라,008770.KS,False
DGB금융지주,139130.KS,False
에스엘,005850.KS,False
코리안리,003690.KS,False
GS건설,006360.KS,False
오뚜기,007310.KS,False
녹십자,006280.KS,False
DL이앤씨,375500.KS,False
OCI홀딩스,010060.KS,False
대웅제약,069620.KS,False
한국앤컴퍼니,000240.KS,False
대우건설,047040.KS,False
신세계,004170.KS,False
금호타이어,073240.KS,False
일진전기,103590.KS,False
SK리츠,395400.KS,False
동원산업,006040.KS,False
한국콜마,161890.KS,False
신영증권,001720.KS,False
롯데에너지머티리얼즈,020150.KS,False
하이트진로,000080.KS,False
한솔케미칼,014680.KS,False
GS리테일,007070.KS,False
HD현대건설기계,267270.KS,False
에스디바이오센서,137310.KS,False
현대백화점,069960.KS,False
DN오토모티브,007340.KS,False
HDC현대산업개발,294870.KS,False
대웅,003090.KS,False
금양,001570.KS,False
영원무역홀딩스,009970.KS,False
LS에코에너지,229640.KS,False
경동나비엔,009450.KS,False
현대위아,011210.KS,False
종근당,185750.KS,False
동원시스템즈,014820.KS,False
한샘,009240.KS,False
LX인터내셔널,001120.KS,False
한일시멘트,300720.KS,False
세방전지,004490.KS,False
롯데정밀화학,004000.KS,False
두산퓨얼셀,336260.KS,False
롯데렌탈,089860.KS,False
LX세미콘,108320.KS,False
더블유게임즈,192080.KS,False
롯데웰푸드,280360.KS,False
SNT다이내믹스,003570.KS,False
ESR켄달스퀘어리츠,365550.KS,False
효성티앤씨,298020.KS,False
SK네트웍스,001740.KS,False
파라다이스,034230.KS,False
롯데리츠,330590.KS,False
LG화학우,051915.KS,False
오리온홀딩스,001800.KS,False
롯데칠성,005300.KS,False
대덕전자,353200.KS,False
코오롱인더,120110.KS,False
가온전선,000500.KS,False
세아제강지주,003030.KS,False
삼성화재우,000815.KS,False
솔루엠,248070.KS,False
HS효성첨단소재,298050.KS,False
HD현대마린엔진,071970.KS,False
하나투어,039130.KS,False
DI동일,001530.KS,False
KB발해인프라,415640.KS,False
보령,003850.KS,False
SK오션플랜트,100090.KS,False
빙그레,005180.KS,False
프레스티지바이오파마,950210.KS,False
대신증권,003540.KS,False
미원상사,002840.KS,False
다우기술,023590.KS,False
CJ CGV,079160.KS,False
현대지에프홀딩스,005440.KS,False
미래에셋생명,085620.KS,False
전진건설로봇,079900.KS,False
효성,004800.KS,False
코스모화학,005420.KS,False
태광산업,003240.KS,False
HDC,012630.KS,False
율촌화학,008730.KS,False
한국카본,017960.KS,False
대상,001680.KS,False
케이씨텍,281820.KS,False
덴티움,145720.KS,False
쿠쿠홀딩스,192400.KS,False
동양생명,082640.KS,False
한국단자,025540.KS,False
태영건설,009410.KS,False
한화투자증권,003530.KS,False
SK케미칼,285130.KS,False
영풍,000670.KS,False
이노션,214320.KS,False
KG모빌리티,003620.KS,False
TCC스틸,002710.KS,False
교보증권,030610.KS,False
NICE평가정보,030190.KS,False
신한알파리츠,293940.KS,False
솔루스첨단소재,336370.KS,False
미원에스씨,268280.KS,False
DL,000210.KS,False
세아베스틸지주,001430.KS,False
GKL,114090.KS,False
SK디스커버리,006120.KS,False
NHN,181710.KS,False
TKG휴켐스,069260.KS,False
파미셀,005690.KS,False
녹십자홀딩스,005250.KS,False
LG전자우,066575.KS,False
대한유화,006650.KS,False
한화리츠,451800.KS,False
화승엔터프라이즈,241590.KS,False
두산우,000155.KS,False
엠앤씨솔루션,484870.KS,False
케이카,381970.KS,False
STX엔진,077970.KS,False
롯데관광개발,032350.KS,False
현대홈쇼핑,057050.KS,False
KG스틸,016380.KS,False
동아쏘시오홀딩스,000640.KS,False
카프로,006380.KS,False
SNT에너지,100840.KS,False
풀무원,017810.KS,False
동원F&B,049770.KS,False
제주항공,089590.KS,False
PI첨단소재,178920.KS,False
일진하이솔루스,271940.KS,False
OCI,456040.KS,False
미래에셋증권2우B,00680K.KS,False
티웨이항공,091810.KS,False
롯데손해보험,000400.KS,False
대한해운,005880.KS,False
아이에스동서,010780.KS,False
비에이치,090460.KS,False
DS단석,017860.KS,False
KCC글라스,344820.KS,False
아세아,002030.KS,False
삼양홀딩스,000070.KS,False
드림텍,192650.KS,False
JW중외제약,001060.KS,False
후성,093370.KS,False
유안타증권,003470.KS,False
넥센타이어,002350.KS,False
진에어,272450.KS,False
HJ중공업,097230.KS,False
LX홀딩스,383800.KS,False
명신산업,009900.KS,False
지역난방공사,071320.KS,False
SNT홀딩스,036530.KS,False
쏘카,403550.KS,False
디아이,003160.KS,False
한세실업,105630.KS,False
유니드,014830.KS,False
해성디에스,195870.KS,False
SK이터닉스,475150.KS,False
삼아알미늄,006110.KS,False
F&F홀딩스,007700.KS,False
제이알글로벌리츠,348950.KS,False
세진중공업,075580.KS,False
고려제강,002240.KS,False
남양유업,003920.KS,False
LF,093050.KS,False
퍼시스,016800.KS,False
신풍제약,019170.KS,False
바이오노트,377740.KS,False
한화손해보험,000370.KS,False
동국제강,460860.KS,False
삼양사,145990.KS,False
동아에스티,170900.KS,False
쿠쿠홈시스,284740.KS,False
현대그린푸드,453340.KS,False
E1,017940.KS,False
더본코리아,475560.KS,False
GS피앤엘,499790.KS,False
지누스,013890.KS,False
세아제강,306200.KS,False
흥아해운,003280.KS,False
대상홀딩스,084690.KS,False
엠씨넥스,097520.KS,False
SBS,034120.KS,False
한일홀딩스,003300.KS,False
대신증권우,003545.KS,False
삼성FN리츠,448730.KS,False
한국쉘석유,002960.KS,False
SPC삼립,005610.KS,False
코람코라이프인프라리츠,357120.KS,False
풍산홀딩스,005810.KS,False
SNT모티브,064960.KS,False
현대퓨처넷,126560.KS,False
NICE,034310.KS,False
사조대림,003960.KS,False
신도리코,029530.KS,False
아세아시멘트,183190.KS,False
신세계인터내셔날,031430.KS,False
한전산업,130660.KS,False
맵스리얼티1,094800.KS,False
영진약품,003520.KS,False
아모레퍼시픽우,090435.KS,False
현대차3우B,005389.KS,False
세아홀딩스,058650.KS,False
애경케미칼,161000.KS,False
한섬,020000.KS,False
삼천리,004690.KS,False
CJ4우(전환),00104K.KS,False
대한제강,084010.KS,False
애경산업,018250.KS,False
한국금융지주우,071055.KS,False
KB스타리츠,432320.KS,False
한화3우B,00088K.KS,False
조광피혁,004700.KS,False
이아이디,093230.KS,False
스틱인베스트먼트,026890.KS,False
HL홀딩스,060980.KS,False
서연이화,200880.KS,False
부광약품,003000.KS,False
SGC에너지,005090.KS,False
LS네트웍스,000680.KS,False
남해화학,025860.KS,False
BGF,027410.KS,False
YG PLUS,037270.KS,False
백광산업,001340.KS,False
일동제약,249420.KS,False
대원제약,003220.KS,False
백산,035150.KS,False
한국자산신탁,123890.KS,False
자화전자,033240.KS,False
예스코홀딩스,015360.KS,False
아세아제지,002310.KS,False
신성통상,005390.KS,False
수산인더스트리,126720.KS,False
삼화콘덴서,001820.KS,False
유나이티드제약,033270.KS,False
롯데이노베이트,286940.KS,False
대동,000490.KS,False
국도화학,007690.KS,False
현대코퍼레이션,011760.KS,False
