company_name,ticker,is_etf
동양이엔피,079960.KQ,False
이크레더블,092130.KQ,False
대양전기공업,108380.KQ,False
디알텍,214680.KQ,False
엑셈,205100.KQ,False
하이텍팜,106190.KQ,False
양지사,030960.KQ,False
알서포트,131370.KQ,False
노바렉스,194700.KQ,False
와이제이링크,209640.KQ,False
대한약품,023910.KQ,False
오스테오닉,226400.KQ,False
제일엠앤에스,412540.KQ,False
헥토이노베이션,214180.KQ,False
골프존뉴딘홀딩스,121440.KQ,False
DMS,068790.KQ,False
금화피에스시,036190.KQ,False
디와이피엔에프,104460.KQ,False
온코크로스,382150.KQ,False
라파스,214260.KQ,False
디이엔티,079810.KQ,False
자이언트스텝,289220.KQ,False
네오위즈홀딩스,042420.KQ,False
티에스아이,277880.KQ,False
비씨엔씨,146320.KQ,False
나노팀,417010.KQ,False
포니링크,064800.KQ,False
대봉엘에스,078140.KQ,False
한일사료,005860.KQ,False
한라IMS,092460.KQ,False
휴센텍,215090.KQ,False
레뷰코퍼레이션,443250.KQ,False
삼지전자,037460.KQ,False
인트론바이오,048530.KQ,False
코세스,089890.KQ,False
다산네트웍스,039560.KQ,False
제닉스,381620.KQ,False
슈피겐코리아,192440.KQ,False
스맥,099440.KQ,False
마음AI,377480.KQ,False
SM C&C,048550.KQ,False
보성파워텍,006910.KQ,False
코다코,046070.KQ,False
케이씨에스,115500.KQ,False
더네이쳐홀딩스,298540.KQ,False
테고사이언스,191420.KQ,False
아바텍,149950.KQ,False
에스비비테크,389500.KQ,False
워트,396470.KQ,False
아이티센,124500.KQ,False
현대바이오랜드,052260.KQ,False
동구바이오제약,006620.KQ,False
엘앤케이바이오,156100.KQ,False
이엠코리아,095190.KQ,False
원익피앤이,217820.KQ,False
일진파워,094820.KQ,False
고려신용정보,049720.KQ,False
코텍,052330.KQ,False
티케이케미칼,104480.KQ,False
헥토파이낸셜,234340.KQ,False
디엔에프,092070.KQ,False
동국S&C,100130.KQ,False
그리드위즈,453450.KQ,False
오성첨단소재,052420.KQ,False
에이치엔에스하이텍,044990.KQ,False
사피엔반도체,452430.KQ,False
팜스토리,027710.KQ,False
소룩스,290690.KQ,False
제노코,361390.KQ,False
DSC인베스트먼트,241520.KQ,False
한빛레이저,452190.KQ,False
일승,333430.KQ,False
선진뷰티사이언스,086710.KQ,False
도이치모터스,067990.KQ,False
드림어스컴퍼니,060570.KQ,False
뉴프렉스,085670.KQ,False
아티스트스튜디오,200350.KQ,False
유니슨,018000.KQ,False
웹케시,053580.KQ,False
웨이비스,289930.KQ,False
케이엔제이,272110.KQ,False
광무,029480.KQ,False
윈스,136540.KQ,False
그린리소스,402490.KQ,False
지어소프트,051160.KQ,False
시스웍,269620.KQ,False
샌즈랩,411080.KQ,False
초록뱀미디어,047820.KQ,False
삼보판지,023600.KQ,False
YTN,040300.KQ,False
디엔에이링크,127120.KQ,False
아이텍,119830.KQ,False
우리바이오,082850.KQ,False
국보디자인,066620.KQ,False
HLB파나진,046210.KQ,False
오이솔루션,138080.KQ,False
쎌바이오텍,049960.KQ,False
밀리의서재,418470.KQ,False
레이,228670.KQ,False
나인테크,267320.KQ,False
애니플러스,310200.KQ,False
CJ 바이오사이언스,311690.KQ,False
범한퓨얼셀,382900.KQ,False
메가스터디,072870.KQ,False
에스텍,069510.KQ,False
코어라인소프트,384470.KQ,False
매일홀딩스,005990.KQ,False
제룡산업,147830.KQ,False
셀바스헬스케어,208370.KQ,False
라온테크,232680.KQ,False
